pir_reading_id,device_id,motion,flag,measured_at,received_at,raw_payload
26506,3,False,ok,2026-09-03T14:13:14.203391+00:00,2026-09-03T14:13:14.364727+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26507,3,False,ok,2026-09-03T14:13:15.313455+00:00,2026-09-03T14:13:15.519877+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26508,3,False,ok,2026-09-03T14:13:16.227243+00:00,2026-09-03T14:13:16.319875+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26509,3,False,ok,2026-09-03T14:13:17.239591+00:00,2026-09-03T14:13:17.324891+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26510,3,False,ok,2026-09-03T14:13:18.251127+00:00,2026-09-03T14:13:18.424665+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26511,3,False,ok,2026-09-03T14:13:19.263569+00:00,2026-09-03T14:13:19.435337+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26512,3,False,ok,2026-09-03T14:13:20.357780+00:00,2026-09-03T14:13:20.534554+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26513,3,False,ok,2026-09-03T14:13:21.288383+00:00,2026-09-03T14:13:21.395037+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26514,3,False,ok,2026-09-03T14:13:22.299397+00:00,2026-09-03T14:13:22.396504+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26515,3,False,ok,2026-09-03T14:13:23.311117+00:00,2026-09-03T14:13:23.484739+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
