run_id,measured_at,temperature,humidity,co2,pir_motion,door_open_fraction,heater_commanded_duty,heater_physical_u,heater_state_verified,cooling_u,actuation_verified,dt_seconds,dT_dt,phase,quality_scope,training_eligible
1,2026-09-03T14:20:30.922886+00:00,24.32,73.02167,786.66667,True,0.0,100,,False,0,True,30.0,-0.02,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:21:00.922886+00:00,24.32,73.08,785.0,True,0.0,100,,False,0,True,30.0,0.0,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:21:30.922886+00:00,24.32167,73.15,784.16667,True,0.0,100,,False,0,True,30.0,0.00334,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:22:00.922886+00:00,24.32,73.215,787.33333,True,0.0,100,,False,0,True,30.0,-0.00334,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:22:30.922886+00:00,24.31167,73.255,786.66667,True,0.0,100,,False,0,True,30.0,-0.01666,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:23:00.922886+00:00,24.32167,73.29,784.33333,True,0.0,0,,False,0,True,30.0,0.02,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:23:30.922886+00:00,24.32333,73.33,783.5,True,0.0,0,,False,0,True,30.0,0.00332,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:24:00.922886+00:00,24.315,73.35833,782.83333,True,0.0,0,,False,0,True,30.0,-0.01666,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:24:30.922886+00:00,24.31333,73.38167,780.0,True,0.0,0,,False,0,True,30.0,-0.00334,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:25:00.922886+00:00,24.31833,73.41333,775.33333,True,0.0,0,,False,0,True,30.0,0.01,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:25:30.922886+00:00,24.325,73.44833,776.66667,True,0.0,0,,False,0,True,30.0,0.01334,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:26:00.922886+00:00,24.325,73.49,777.16667,True,0.0,0,,False,0,True,30.0,0.0,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:26:30.922886+00:00,24.32167,73.56,777.33333,True,0.1724,0,,False,0,True,30.0,-0.00666,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:27:00.922886+00:00,24.29833,72.525,774.5,True,1.0,0,,False,0,True,30.0,-0.04668,door_open,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:27:30.922886+00:00,24.265,70.12667,761.33333,True,1.0,0,,False,0,True,30.0,-0.06666,door_open,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:28:00.922886+00:00,24.24,68.805,745.0,True,1.0,0,,False,0,True,30.0,-0.05,door_open,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:28:30.922886+00:00,24.252,68.052,726.4,True,0.5667,0,,False,0,True,30.0,0.024,door_open,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:29:00.922886+00:00,24.25333,67.59833,712.66667,True,0.0,0,,False,0,True,30.0,0.00266,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:29:30.922886+00:00,24.26167,67.28333,696.33333,True,0.0,0,,False,1,False,30.0,0.01668,peltier_commanded_on,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:30:00.922886+00:00,24.285,67.11333,680.16667,True,0.0,0,,False,1,False,30.0,0.04666,peltier_commanded_on,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:30:30.922886+00:00,24.29167,67.105,667.33333,True,0.0,0,,False,1,False,30.0,0.01334,peltier_commanded_on,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:31:00.922886+00:00,24.30333,67.20333,655.83333,True,0.0,0,,False,1,False,30.0,0.02332,peltier_commanded_on,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
1,2026-09-03T14:31:30.922886+00:00,24.30333,67.35167,646.83333,True,0.0,0,,False,0,True,30.0,0.0,post_heater_on_state_unverified,PILOT_PIPELINE_ONLY_NOT_TRAINING_QUALITY,False
