reading_id,device_id,temperature,humidity,co2,temp_flag,humidity_flag,co2_flag,measured_at,received_at,raw_payload
16379,1,24.33,73.25,787,ok,ok,ok,2026-09-03T14:22:43.557940+00:00,2026-09-03T14:22:43.739736+00:00,"{""co2_ppm"": 787, ""humidity_rh"": 73.24788, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.32708, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2441351, ""wifi_rssi"": -66}"
16382,1,24.33,73.26,787,ok,ok,ok,2026-09-03T14:22:48.599014+00:00,2026-09-03T14:22:48.739689+00:00,"{""co2_ppm"": 787, ""humidity_rh"": 73.25704, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.32708, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2446391, ""wifi_rssi"": -64}"
16385,1,24.28,73.26,787,ok,ok,ok,2026-09-03T14:22:53.641103+00:00,2026-09-03T14:22:53.809750+00:00,"{""co2_ppm"": 787, ""humidity_rh"": 73.26315, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.28435, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2451431, ""wifi_rssi"": -63}"
16388,1,24.31,73.29,784,ok,ok,ok,2026-09-03T14:22:58.680838+00:00,2026-09-03T14:22:58.854726+00:00,"{""co2_ppm"": 784, ""humidity_rh"": 73.28756, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.30571, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2456471, ""wifi_rssi"": -63}"
16391,1,24.34,73.28,783,ok,ok,ok,2026-09-03T14:23:03.677350+00:00,2026-09-03T14:23:03.821540+00:00,"{""co2_ppm"": 783, ""humidity_rh"": 73.27535, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.3431, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2461473, ""wifi_rssi"": -61}"
16394,1,24.31,73.31,784,ok,ok,ok,2026-09-03T14:23:08.720435+00:00,2026-09-03T14:23:08.830115+00:00,"{""co2_ppm"": 784, ""humidity_rh"": 73.31045, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.31373, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2466513, ""wifi_rssi"": -63}"
16397,1,24.32,73.25,784,ok,ok,ok,2026-09-03T14:23:13.758753+00:00,2026-09-03T14:23:13.944802+00:00,"{""co2_ppm"": 784, ""humidity_rh"": 73.25246, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.31907, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2471553, ""wifi_rssi"": -67}"
16400,1,24.31,73.30,783,ok,ok,ok,2026-09-03T14:23:18.797568+00:00,2026-09-03T14:23:18.940229+00:00,"{""co2_ppm"": 783, ""humidity_rh"": 73.29671, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.30571, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2476593, ""wifi_rssi"": -64}"
16403,1,24.31,73.30,786,ok,ok,ok,2026-09-03T14:23:23.855075+00:00,2026-09-03T14:23:24.029822+00:00,"{""co2_ppm"": 786, ""humidity_rh"": 73.30129, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.31373, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2481633, ""wifi_rssi"": -63}"
16406,1,24.34,73.30,786,ok,ok,ok,2026-09-03T14:23:28.890554+00:00,2026-09-03T14:23:29.024662+00:00,"{""co2_ppm"": 786, ""humidity_rh"": 73.29824, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.33509, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2486673, ""wifi_rssi"": -64}"
16409,1,24.33,73.29,785,ok,ok,ok,2026-09-03T14:23:33.960524+00:00,2026-09-03T14:23:34.114895+00:00,"{""co2_ppm"": 785, ""humidity_rh"": 73.29214, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.32975, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2491714, ""wifi_rssi"": -65}"
16412,1,24.33,73.33,786,ok,ok,ok,2026-09-03T14:23:39.026779+00:00,2026-09-03T14:23:39.154640+00:00,"{""co2_ppm"": 786, ""humidity_rh"": 73.32723, ""node"": ""env_01"", ""sensor"": ""scd41_main"", ""temp_c"": 24.32975, ""type"": ""co2_temperature_humidity"", ""uptime_ms"": 2496754, ""wifi_rssi"": -62}"
