door_reading_id,device_id,door_state,flag,measured_at,received_at,raw_payload
26474,3,closed,ok,2026-09-03T14:12:41.817893+00:00,2026-09-03T14:12:42.144649+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26475,3,closed,ok,2026-09-03T14:12:42.829942+00:00,2026-09-03T14:12:43.156139+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26476,3,closed,ok,2026-09-03T14:12:43.841913+00:00,2026-09-03T14:12:44.124629+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26477,3,closed,ok,2026-09-03T14:12:45.065685+00:00,2026-09-03T14:12:45.344724+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26478,3,closed,ok,2026-09-03T14:12:45.865936+00:00,2026-09-03T14:12:46.060646+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26479,3,closed,ok,2026-09-03T14:12:46.878436+00:00,2026-09-03T14:12:47.041087+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26480,3,closed,ok,2026-09-03T14:12:47.892556+00:00,2026-09-03T14:12:48.220095+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26481,3,closed,ok,2026-09-03T14:12:48.902142+00:00,2026-09-03T14:12:49.139830+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26482,3,closed,ok,2026-09-03T14:12:50.277674+00:00,2026-09-03T14:12:50.489972+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26483,3,closed,ok,2026-09-03T14:12:50.925958+00:00,2026-09-03T14:12:51.119980+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26484,3,closed,ok,2026-09-03T14:12:51.937887+00:00,2026-09-03T14:12:52.104781+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26485,3,closed,ok,2026-09-03T14:12:52.949945+00:00,2026-09-03T14:12:53.304570+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26486,3,closed,ok,2026-09-03T14:12:53.962523+00:00,2026-09-03T14:12:54.239655+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26487,3,closed,ok,2026-09-03T14:12:55.243385+00:00,2026-09-03T14:12:55.574615+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26488,3,closed,ok,2026-09-03T14:12:55.986027+00:00,2026-09-03T14:12:56.139702+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26489,3,closed,ok,2026-09-03T14:12:56.999098+00:00,2026-09-03T14:12:57.179935+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26490,3,closed,ok,2026-09-03T14:12:58.010081+00:00,2026-09-03T14:12:58.295888+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26491,3,closed,ok,2026-09-03T14:12:59.023515+00:00,2026-09-03T14:12:59.369961+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26492,3,closed,ok,2026-09-03T14:13:00.292786+00:00,2026-09-03T14:13:00.640259+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26493,3,closed,ok,2026-09-03T14:13:01.045970+00:00,2026-09-03T14:13:01.436922+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26494,3,closed,ok,2026-09-03T14:13:02.059322+00:00,2026-09-03T14:13:02.259733+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26495,3,closed,ok,2026-09-03T14:13:03.070047+00:00,2026-09-03T14:13:03.284575+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26496,3,closed,ok,2026-09-03T14:13:04.086101+00:00,2026-09-03T14:13:04.430712+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26497,3,closed,ok,2026-09-03T14:13:05.202679+00:00,2026-09-03T14:13:05.562161+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26498,3,closed,ok,2026-09-03T14:13:06.107457+00:00,2026-09-03T14:13:06.269645+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26499,3,closed,ok,2026-09-03T14:13:07.119724+00:00,2026-09-03T14:13:07.294560+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
